Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive,Contacts_Count,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769,0,602,15
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,2363,1295,40
Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,1424,29
Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336,1753,1168,27
Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516,0,691,15
Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926,1251,1316,28
Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957,2102,1276,26
Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,1289,23
Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516,1515,1293,32
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,1468,1132,28
Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687,1107,1670,17
Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,1330,837,15
Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516,1763,1550,41
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216,1034,1540,36
Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913,1528,1394,35
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272,1515,1289,33
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000,2517,1112,23
Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038,1801,2339,57
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536,1823,1468,23
Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904,1899,1334,35
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567,1695,1457,41
Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516,1219,1590,27
Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085,1910,1531,35
Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040,2056,1212,31
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026,0,1237,32
Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756,837,1413,14
Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930,0,1276,21
Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302,1953,1564,35
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576,0,1465,34
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664,2037,1286,29
Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709,895,1673,32
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454,1200,1313,30
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789,1706,1609,42
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940,1264,1259,33
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031,1879,1298,15
Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358,926,1566,37
Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516,931,1022,21
Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450,2440,1235,30
Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466,1886,1342,32
Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263,1674,1251,35
Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494,706,1305,24
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551,1294,1388,37
Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886,895,1235,18
Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964,1559,1626,25
Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159,1196,1111,24
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362,1901,1553,38
Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516,1023,1064,13
Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174,1951,1243,29
Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262,1836,1659,38
Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788,1540,1594,47
Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926,0,1304,24
Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090,0,1368,30
Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669,2227,720,23
Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532,1300,1521,29
Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393,1985,978,16
Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270,1662,1565,28
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710,2517,1578,34
Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235,797,1493,32
Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749,788,1178,27
Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753,2100,991,26
Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205,2517,1204,19
Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025,0,673,18
Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926,2517,1576,25
Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335,1128,1217,20
Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732,0,739,16
Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250,2117,1617,31
Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916,1536,1592,34
Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366,1104,1303,39
Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617,0,1351,22
Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386,0,1298,22
Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405,1540,1087,29
Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,8135,0,1716,29
Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364,618,1099,27
Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195,1954,1285,29
Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852,1024,1651,28
Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459,2071,1767,38
Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065,1570,1130,28
Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185,1761,1645,30
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611,746,1413,29
Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822,2173,1218,23
Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975,2517,597,17
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,1438.3,0,2184,53
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6,3,3,6703,893,1388,28
Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,3,1,3,34516,1260,1504,34
Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1,2,9797,1434,1503,34
Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,10400,1777,1105,28
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,26792,1836,2398,47
Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006,2517,1661,32
Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,19482,1072,1421,22
Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356,985,999,28
Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2,1,5771,2248,1387,18
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106,2107,1243,24
Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890,2001,1860,36
Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,2,3380,1701,1502,25
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1,2,21331,1251,1460,50
Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,0,6278,462,1087,33
Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,5,1,2,9355,1626,1230,28
Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3,1,14612,1976,1827,24
Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,2,3,6347,1594,1771,37
Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3,0,21592,1676,1873,52
Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449,1598,1679,42
Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,2,1,2,6028,799,1002,22
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3,1,16393,1423,1461,42
Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1,3,2,1438.3,900,760,21
Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5,3,11376,2006,1302,27
Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3,2,1,34516,1679,1060,27
Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2,2,34516,1468,1330,32
Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,2,10514,1580,1229,27
Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,4,3,1438.3,0,886,27
Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,3,1438.3,0,844,24
Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1,2,2619,1779,1450,37
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,1,2,2377,1649,1378,26
Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,5,3,3,11086,2207,1523,40
Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,4,2,2,11432,2517,1374,37
Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,5,3,2,13258,1721,1080,21
Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,5,2,0,5781,1168,1600,32
Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,6,1,2,34516,1202,1353,33
Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,1,3,11127,1835,1546,25
Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5,1,0,1913,1272,1448,22
Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,3,0,3839,2295,1271,24
Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,2,3,2115,1141,1223,20
Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,2,2,1438.3,679,1117,29
Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28,4,3,0,27756,1789,994,24
Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,4,2,13878,2222,1658,38
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,1,3,3106,1304,1368,38
Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,4,3,3,34516,1666,1218,18
Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,4,3,1438.3,1025,702,12
Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5,2,2,5207,1748,1310,26
Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,2,17965,1644,1767,50
Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,3,1857,1833,829,17
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,3,3,11107,1222,1506,33
Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,4,2,2,5269,1475,2094,25
Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,2,3,1982,1289,1377,49
Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,2,2,4645,1650,1193,33
Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,3,3,2442,0,701,19
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38,4,1,2,21304,1532,1770,25
Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,5,1,2,7577,2480,1409,35
Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,1,2,3234,1486,1354,28
Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36,5,3,2,4469,1125,1765,34
Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,3616,1054,687,17
Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,3,2,3,3252,1495,1227,15
Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,4,3,3,2358,1152,1737,26
Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,4,2,2,3133,1510,1435,38
Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,2,3,0,3540,849,1321,28
Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6,3,2,6990,1378,1479,29
Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1,4,1,1438.3,0,689,23
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5,1,3,5214,795,1258,23
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,5,2,2,5207,1650,1339,20
Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3,3353,0,960,18
Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38,3,3,3,2290,1434,1119,18
Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,5,3,0,23603,0,1382,31
Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,6,2,2,2601,0,1232,32
Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,40,4,3,0,6363,1029,1542,16
Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,36,4,3,3,8029,1576,1094,32
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2,2,2,2410,1769,1217,30
Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,1,2,3401,0,744,18
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,23,4,2,0,2260,1007,1614,33
Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,5,2,2,17682,2481,1747,31
Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42,3,1,3,4206,1100,1144,22
Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,37,4,3,2,34516,1440,1575,34
Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5,2,3,5556,1711,1706,21
Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,52,3,1,2,2939,1999,2434,33
Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,48,2,1,0,5362,1274,1876,41
Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,3,3,3,27126,0,1000,25
Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,3,2,3342,2517,1139,30
Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,37,2,3,2,14546,1703,1273,27
Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,3,4,3,16427,1682,1579,36
Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,36,5,1,3,3281,837,1424,29
Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47,5,3,2,3096,2217,2011,41
Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,52,5,2,3,2052,1250,1208,31
Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,39,2,3,2,9432,1418,1319,26
Existing Customer,50,M,0,High School,Single,$120K +,Silver,45,5,2,3,14938,2303,949,27
Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,5,3,2,2221,1343,1338,30
Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,37,6,3,0,5731,1577,1554,26
Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,22,5,2,2,6985,1130,1694,44
Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,42,3,3,0,24221,1707,1678,40
Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,36,6,3,2,21637,2030,1222,23
Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,37,2,3,2,14543,0,1536,37
Existing Customer,43,F,4,Uneducated,Married,Less than $40K,Blue,36,2,1,1,9684,2475,1400,31
Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue,36,2,2,2,5007,930,1050,28
Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,54,3,2,0,1616,1047,1389,33
Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue,40,5,2,2,19116,0,1184,29
Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,47,5,6,2,2759,2223,2093,42
Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,38,2,3,3,8249,1381,678,11
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,43,5,3,2,5264,2169,1219,27
Existing Customer,49,F,4,High School,Married,Less than $40K,Blue,43,4,2,0,2826,2070,1025,28
Existing Customer,45,M,2,High School,Married,$80K - $120K,Blue,34,5,5,2,12518,1539,1165,33
Existing Customer,67,M,0,Graduate,Married,$40K - $60K,Blue,56,4,2,1,5876,1297,2133,55
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Silver,37,3,2,3,34516,0,1122,13
Existing Customer,51,F,2,Uneducated,Divorced,Less than $40K,Blue,38,4,1,2,9648,1926,1083,22
Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,40,3,3,3,34516,2177,1234,23
Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue,26,4,3,3,3265,2517,1843,35
Existing Customer,56,M,1,Uneducated,Married,$120K +,Blue,36,3,2,2,6041,1355,1747,49
Existing Customer,44,F,2,Post-Graduate,Married,Less than $40K,Blue,36,3,3,2,2293,1823,1166,22
Existing Customer,43,F,3,Graduate,Single,$40K - $60K,Blue,29,5,2,0,3378,1069,1285,16
Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue,36,4,1,3,5012,2242,1142,28
Existing Customer,38,F,4,Uneducated,Single,Less than $40K,Blue,30,4,1,0,2569,1605,1190,46
Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue,45,3,1,2,3471,1785,1052,24
Existing Customer,43,M,5,Graduate,Divorced,$120K +,Silver,31,5,3,3,34516,1699,1628,38
Existing Customer,53,M,1,High School,Married,$120K +,Blue,36,6,3,2,3312,1844,1740,32
Existing Customer,56,F,1,Graduate,Married,Less than $40K,Blue,38,4,3,3,2578,2462,1378,29
Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,39,3,2,1,2742,2321,1389,32
Existing Customer,62,M,1,High School,Married,Less than $40K,Blue,53,5,3,3,2077,1571,1365,38
Existing Customer,46,F,4,Graduate,Single,Less than $40K,Blue,40,5,1,2,6265,1942,1715,43
Existing Customer,49,M,2,Uneducated,Married,$60K - $80K,Blue,44,6,3,0,7819,1560,1582,25
Existing Customer,52,M,3,Graduate,Single,$80K - $120K,Blue,42,6,3,3,2731,1692,1220,22
Attrited Customer,58,M,1,Uneducated,Married,$40K - $60K,Blue,36,2,4,3,1438.3,537,715,13
Existing Customer,54,M,0,High School,Married,$80K - $120K,Blue,36,3,1,2,16286,1710,2552,49
Existing Customer,49,M,1,Graduate,Married,$120K +,Blue,39,3,2,3,34516,0,1106,31
Existing Customer,58,F,3,High School,Married,Less than $40K,Blue,47,6,1,0,2609,2439,1731,34
Existing Customer,52,M,2,High School,Single,$60K - $80K,Blue,45,5,3,2,7567,1173,1435,32
Existing Customer,41,M,5,High School,Married,$60K - $80K,Blue,33,5,3,3,22770,2517,1882,38
Existing Customer,62,F,0,Uneducated,Married,Less than $40K,Blue,50,5,1,2,3791,1648,2058,34
Existing Customer,54,M,2,Graduate,Married,Less than $40K,Blue,39,4,4,2,2702,2517,1658,32
Existing Customer,40,F,3,High School,Divorced,Less than $40K,Blue,35,3,1,3,2555,2117,1334,32
Existing Customer,43,M,3,Graduate,Married,$80K - $120K,Blue,26,5,3,2,2355,1090,1441,29
Existing Customer,53,F,2,Graduate,Single,$40K - $60K,Blue,42,6,2,0,5332,0,1371,39
Existing Customer,55,M,1,Uneducated,Single,$40K - $60K,Blue,49,6,3,2,1443,1375,1991,38
Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue,39,6,2,3,10741,755,1278,22
Existing Customer,41,M,1,Uneducated,Married,$60K - $80K,Blue,25,3,2,0,7984,1503,1734,39
Existing Customer,49,M,3,Uneducated,Single,$60K - $80K,Blue,32,3,2,2,18584,2517,1330,34
Existing Customer,46,M,2,Uneducated,Married,$80K - $120K,Blue,38,6,3,2,34516,2165,1672,32
Existing Customer,50,F,1,Uneducated,Married,Less than $40K,Blue,43,6,3,4,1438.3,0,1439,41
Existing Customer,40,M,2,Graduate,Single,$80K - $120K,Blue,24,5,1,0,2478,2031,1558,31
Existing Customer,51,M,4,High School,Single,$120K +,Blue,46,6,3,3,34516,2274,1795,47
Existing Customer,50,F,2,Graduate,Married,$40K - $60K,Blue,44,6,2,3,2339,1440,893,22
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,36,6,3,2,2726,0,1099,27
Existing Customer,36,F,4,Graduate,Married,$40K - $60K,Blue,36,6,3,3,1628,969,1893,15
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,34,5,2,2,3156,1644,1151,31
Existing Customer,46,F,2,Graduate,Single,Less than $40K,Blue,41,5,3,0,4745,1270,1519,31
Existing Customer,46,M,2,High School,Married,$120K +,Blue,36,5,3,2,19727,1785,1245,25
Existing Customer,52,M,0,Uneducated,Married,$60K - $80K,Blue,36,3,3,2,22720,793,1102,27
Existing Customer,40,F,4,Graduate,Single,Less than $40K,Blue,27,6,2,3,3751,1521,1060,30
Existing Customer,54,F,4,High School,Married,Less than $40K,Blue,36,3,5,3,1594,1411,1459,35
Existing Customer,55,F,1,High School,Single,Less than $40K,Blue,43,4,2,0,2569,1403,1456,39
Existing Customer,45,M,4,High School,Married,$40K - $60K,Blue,34,6,3,3,3104,1766,1353,24
Existing Customer,49,M,3,Graduate,Married,$40K - $60K,Blue,41,5,3,2,2406,1560,1173,32
Existing Customer,63,M,1,Uneducated,Married,$80K - $120K,Blue,36,5,2,3,24571,1955,1746,28
Existing Customer,40,F,3,High School,Single,Less than $40K,Gold,36,3,2,3,15534,726,1279,28
Existing Customer,41,F,2,Graduate,Married,Less than $40K,Silver,33,4,2,0,12301,2250,1307,29
